Objective1,Objective2,X_all_values
6388.9459,0.1642,"[99.08666177, 41, 63.85049018, 10.57137283, 91.81660887, 84.0095181, 56.56649985, 38, 74.00274552, 20.88073992, 100.98391732, 81, 85.81043666, 18, 81.6453569, 65.01648733, 98.45463664, 89, 24.0094369]"
6368.865,0.1712,"[44.93544811, 20, 45.46026272, 10, 85.94375563, 3, 53.7198042, 38, 73.13363161, 20.09625704, 100.37936544, 81, 85.59829327, 19.04702339, 79.02970862, 66, 59.82534588, 5, 21.79184454]"
6385.4018,0.1642,"[44.93544811, 20, 45.46026272, 10, 85.94375563, 3, 53.7198042, 38, 75.89778954, 20.09625704, 100.37936544, 81, 86.49664793, 19.04702339, 79.02970862, 66, 59.82534588, 5, 21.79184454]"
6371.4431,0.171,"[98.08784445, 20, 62.10039781, 10, 87.33536259, 3, 53.7198042, 38, 75.89778954, 20.09625704, 100.37936544, 81, 86.49664793, 18.90089388, 81.2470565, 66, 97.78536527, 5, 43.00011729]"
6382.2729,0.1643,"[98.08784445, 20, 62.10039781, 10, 87.33536259, 3, 57.62353042, 38, 75.89778954, 20.09625704, 100.37936544, 81, 86.49664793, 18.90089388, 81.2470565, 66, 97.78536527, 5, 43.00011729]"
6365.6451,0.1713,"[44.93544811, 20, 62.10039781, 10, 87.33536259, 3, 57.62353042, 38, 75.89778954, 20.09625704, 100.37936544, 81, 86.49664793, 19.04702339, 79.02970862, 66, 60.74712001, 5, 25.02206171]"
6030.793,0.2227,"[98.08784445, 41, 63.85049018, 10.57137283, 91.81660887, 84.0095181, 57.47270582, 38.34774699, 76.88813902, 19.72236709, 100.37936544, 82.03571994, 86.21649354, 18, 81.6453569, 65.01648733, 99.43371354, 89, 42.55978147]"
6372.785,0.171,"[44.93544811, 20, 62.10039781, 10, 92.96788255, 3, 57.62353042, 38, 73.13363161, 20.09625704, 100.37936544, 81, 85.59829327, 19.04702339, 79.02970862, 66, 59.82534588, 5, 43.00011729]"
6352.2338,0.1714,"[98.13634953, 20, 62.10039781, 10, 87.33536259, 3, 57.62353042, 38, 75.89778954, 20.09625704, 100.37936544, 81, 86.49664793, 19.04702339, 79.02970862, 66, 97.78536527, 5, 25.02206171]"
6029.2501,0.2227,"[98.08784445, 41, 63.85049018, 10.57137283, 91.81660887, 84.7630305, 57.47270582, 38, 75.89778954, 20.83859213, 101.24120441, 82.03571994, 86.49664793, 18, 81.6453569, 65.01648733, 98.45463664, 89, 24.0094369]"
6029.0083,0.2227,"[96.72382096, 20, 45.46026272, 10, 84.2642674, 3, 53.7198042, 38, 73.77955836, 20.09625704, 100.37936544, 81, 84.84027424, 19.04702339, 79.02970862, 66, 59.82534588, 5, 21.79184454]"
